store_name,store_address,phone_number,zip_code,latitude,longitude,city_name,state
211 Summit Boulevard,"211 Summit Boulevard, Birmingham",(205) 909-2570,35243,33.440918,-86.741508,"Birmingham, The Summit",Alabama
320 The Bridge Street,"320 The Bridge Street, Huntsville",(256) 327-8800,35806,34.760774,-86.685762,"Huntsville, Bridge Street",Alabama
320 West 5th Avenue,"320 West 5th Avenue, Anchorage",(907) 257-1900,99501,61.220018,-149.855702,"Anchorage, Anchorage 5th Avenue Mall",Alaska
3111 W Chandler Boulevard,"3111 W Chandler Boulevard, Chandler",(480) 636-3900,85226,33.252249,-112.010268,"Chandler, Chandler Fashion Center",Arizona
2218 E. Williams Field Road,"2218 E. Williams Field Road, Gilbert",(480) 366-8477,85295,33.303241,-111.741807,"Gilbert, SanTan Village",Arizona
7700 West Arrowhead Towne Ctr,"7700 West Arrowhead Towne Ctr, Glendale",(623) 707-2860,85308,33.660382,-112.184964,"Glendale, Arrowhead",Arizona
7014 East Camelback Road,"7014 East Camelback Road, Scottsdale",(602) 606-1470,85251,33.493513,-111.919239,"Scottsdale, Scottsdale Fashion Square",Arizona
15169 North Scottsdale Road,"15169 North Scottsdale Road, Scottsdale",(480) 627-5501,85254,33.615485,-111.952235,"Scottsdale, Scottsdale Quarter",Arizona
2905 East Skyline Drive,"2905 East Skyline Drive, Tucson",(520) 209-7440,85718,32.333304,-110.916607,"Tucson, La Encantada",Arizona
17711 Chenal Parkway Little,"17711 Chenal Parkway Little, Rock",(501) 821-5130,72223,34.788983,-92.511587,"Little Rock, The Promenade at Chenal",Arkansas
2701 Ming Avenue,"2701 Ming Avenue, Bakersfield",(661) 396-3480,93304,35.339702,-119.023451,"Bakersfield, Valley Plaza",California
1823 4th Street,"1823 4th Street, Berkeley",(510) 898-3341,94710,37.863914,-122.306465,"Berkeley, 4th Street",California
1016C Brea Mall,"1016C Brea Mall, Brea",(714) 989-5550,92821,33.927561,-117.887086,"Brea, Brea Mall",California
1301 Burlingame Avenue,"1301 Burlingame Avenue, Burlingame",(650) 645-8930,94010,37.57028,-122.365778,"Burlingame, Burlingame",California
6600 Topanga Canyon Boulevard Canoga,"6600 Topanga Canyon Boulevard Canoga, Park",(818) 577-1800,91303,34.198292,-118.600913,"Canoga Park, Topanga",California
1923 Calle Barcelona,"1923 Calle Barcelona, Carlsbad",(760) 697-9800,92009,33.09547,-117.243882,"Carlsbad, Carlsbad",California
242 Los Cerritos Center,"242 Los Cerritos Center, Cerritos",(562) 356-1555,90703,33.867743,-118.069472,"Cerritos, Los Cerritos",California
2015 Birch Road Chula,"2015 Birch Road Chula, Vista",(619) 205-6400,91915,32.623185,-116.949053,"Chula Vista, Otay Ranch",California
1520 Redwood Highway Corte,"1520 Redwood Highway Corte, Madera",(415) 413-9120,94925,37.931846,-122.507738,"Corte Madera, Corte Madera",California
3333 Bear Street Costa,"3333 Bear Street Costa, Mesa",(714) 424-6331,92626,33.679591,-117.908531,"Costa Mesa, South Coast Plaza",California
One Infinite Loop,"One Infinite Loop, Cupertino",(408) 606-5775,95014,37.306491,-122.08064,"Cupertino, Infinite Loop",California
10600 North Tantau Avenue,"10600 North Tantau Avenue, Cupertino",(408) 961-1560,95014,37.306491,-122.08064,"Cupertino, Apple Park Visitor Center",California
5640 Bay Street,"5640 Bay Street, Emeryville",(510) 350-2400,94608,37.836844,-122.289143,"Emeryville, Bay Street",California
272 E Via Rancho Parkway,"272 E Via Rancho Parkway, Escondido",(760) 317-2484,92025,33.102005,-117.080419,"Escondido, North County",California
645 E. Shaw Avenue,"645 E. Shaw Avenue, Fresno",(559) 244-3400,93710,36.822349,-119.760243,"Fresno, Fashion Fair",California
2126 Glendale Galleria,"2126 Glendale Galleria, Glendale",(818) 502-8310,91210,34.144557,-118.256507,"Glendale, Glendale Galleria",California
877 Americana Way,"877 Americana Way, Glendale",(818) 254-1070,91210,34.144557,-118.256507,"Glendale, The Americana at Brand",California
930 Spectrum Center Drive,"930 Spectrum Center Drive, Irvine",(949) 255-1500,92618,33.666942,-117.732094,"Irvine, Irvine Spectrum Center",California
