city_name,store_name,store_address,phone_number,zip_code,latitude,longitude,state
Alabaster,125 Buck Creek Plaza,"125 Buck Creek Plaza, Alabaster",205-621-1811,35007,33.215623,-86.797656,Alabama
Albertville,503 N Carlisle,"503 N Carlisle, Albertville",256-891-1010,35950,34.24975,-86.261097,Alabama
Alexander City,855 Market Place,"855 Market Place, Alexander",256-329-2236,35010,32.916719,-85.940589,Alabama
Andalusia,1098 Martin Luther King Expy,"1098 Martin Luther King Expy, Andalusia",334-427-1100,36420,31.172401,-86.565077,Alabama
Anniston,5130-C McClellan Blvd,"5130-C McClellan Blvd, Anniston",256-530-4100,36206,33.733273,-85.809624,Alabama
Arab,602 11th Ave Nw,"602 11th Ave Nw, Arab",256-586-2150,35016,34.32387,-86.502006,Alabama
Athens,119 Highway 31 S,"119 Highway 31 S, Athens",256-233-4700,35611,34.773833,-87.084145,Alabama
Attalla,964 Gilbert Ferry Rd.,"964 Gilbert Ferry Rd., Attalla",256-538-1171,35954,34.089754,-86.057449,Alabama
Auburn,175 N College St,"175 N College St, Auburn",334-821-3030,36830,32.53893,-85.492645,Alabama
Bay Minette,201 Chamber Dr Suite G,"201 Chamber Dr Suite G, Bay",251-239-8338,36507,30.858609,-87.742025,Alabama
Bessemer,3979 Parkwood Rd Suite 101,"3979 Parkwood Rd Suite 101, Bessemer",205-426-1131,35022,33.322849,-86.971458,Alabama
Birmingham,4527 Valleydale Rd.,"4527 Valleydale Rd., Birmingham",205-991-0070,35242,33.425247,-86.672084,Alabama
Boaz,102 N Mcclesky Street,"102 N Mcclesky Street, Boaz",256-593-9790,35957,34.196159,-86.196898,Alabama
Brewton,2578 Douglas Ave,"2578 Douglas Ave, Brewton",251-241-6042,36426,31.140984,-87.071111,Alabama
Calera,3 Beverly Drive,"3 Beverly Drive, Calera",205-690-8484,35040,33.102967,-86.728894,Alabama
Chelsea,376 Chesser Drive,"376 Chesser Drive, Chelsea",205-678-2007,35043,33.314842,-86.659872,Alabama
Childersburg,101 8th Ave. SW,"101 8th Ave. SW, Childersburg",938-777-0020,35044,33.243975,-86.380759,Alabama
Clanton,400 Lay Dam Rd,"400 Lay Dam Rd, Clanton",205-258-5090,35045,32.799962,-86.676761,Alabama
