city_name,store_name,store_type,store_address,zip_code,latitude,longitude,store_phone_number,state
Anchorage,1200 N. Muldoon Road,Pizza Hut Express,"1200 N. Muldoon Road Anchorage, AK 99504 US",99504,61.2046,-149.746095,Not available,Alaska
Anchorage,150 West 100th Ave,Pizza Hut Express,"150 West 100th Ave Suite A Anchorage, AK 99515 US",99515,0,0,Not available,Alaska
Anchorage,2220 Abbott Rd,Pizza Hut,"2220 Abbott Rd Anchorage, AK 99507 US",99507,61.147656,-149.753642,(907) 868-0201,Alaska
Anchorage,341 Boniface Pkwy,Pizza Hut,"341 Boniface Pkwy Unit I Anchorage, AK 99504 US",99504,61.2046,-149.746095,(907) 337-2276,Alaska
Anchorage,3727 Spenard Highway,Pizza Hut,"3727 Spenard Highway Anchorage, AK 99517 US",99517,0,0,(907) 743-9978,Alaska
Eagle River,11740 Old Glenn Hwy,Pizza Hut,"11740 Old Glenn Hwy Eagle River, AK 99577 US",99577,0,0,(907) 694-1086,Alaska
Fairbanks,89 College Rd,Pizza Hut,"89 College Rd Fairbanks, AK 99701 US",99701,0,0,(907) 451-1788,Alaska
North Pole,301 N Santa Claus Ln,Pizza Hut,"301 N Santa Claus Ln North Pole, AK 99705 US",99705,0,0,(907) 488-4239,Alaska
Soldotna,44332 Sterling Hwy,Pizza Hut,"44332 Sterling Hwy Soldotna, AK 99669 US",99669,0,0,(907) 420-0645,Alaska
Wasilla,851 E Parks Hwy,Pizza Hut,"851 E Parks Hwy Wasilla, AK 99654 US",99654,0,0,(907) 373-6600,Alaska
Alabaster,250 South Colonial Drive,Pizza Hut Express,"250 South Colonial Drive Alabaster, AL 35007 US",35007,33.215623,-86.797656,Not available,Alabama
Alabaster,634 1st St N,Pizza Hut,"634 1st St N Ste 200 Alabaster, AL 35007 US",35007,33.215623,-86.797656,(205) 663-5137,Alabama
Albertville,6815 Hwy 431 South,Pizza Hut,"6815 Hwy 431 South Albertville, AL 35950 US",35950,34.24975,-86.261097,(256) 878-7373,Alabama
Alexander City,4581 Hwy 280,Pizza Hut,"4581 Hwy 280 Alexander City, AL 35010 US",35010,32.916719,-85.940589,(256) 675-8004,Alabama
