state,store_address,store_name,city_name,phone_number,latitude,longitude
Alabama,"111 N Brindlee Mtn Pwy,Arab",111 N Brindlee Mtn Pwy,Arab,tel:+12565861285,34.32387,-86.502006
Alabama,"1450 No Brindlee Mtn Pkwy,Arab",1450 No Brindlee Mtn Pkwy,Arab,tel:+12569312199,34.32387,-86.502006
Alaska,"3726 Lake Street,Homer",3726 Lake Street,Homer,tel:+19072352782,0,0
Arizona,"15250 N Oracle Rd,Catalina",15250 N Oracle Rd,Catalina,tel:+15208256593,32.621072,-110.989667
Arkansas,"4 Cunningham Corner,Bella Vista",4 Cunningham Corner,Bella Vista,tel:+14798554822,36.46735,-94.222151
California,"100 W 12th Street,Alturas",100 W 12th Street,Alturas,tel:+15302334468,41.452711,-120.53846
Colorado,"965 S First St,Bennett",965 S First St,Bennett,tel:+13036443080,39.74599,-104.442841
Connecticut,"1197 Farmington Ave,Bristol",1197 Farmington Ave,Bristol,tel:+18605859099,41.681578,-72.940749
Connecticut,"123 Farmington Ave,Bristol",123 Farmington Ave,Bristol,tel:+18605849816,41.681578,-72.940749
Connecticut,"1400 Farmington Ave,Bristol",1400 Farmington Ave,Bristol,tel:+18605400699,41.681578,-72.940749
Connecticut,"296 Middle St,Bristol",296 Middle St,Bristol,tel:+18605834014,41.681578,-72.940749
Connecticut,"45 North Main Street,Bristol",45 North Main Street,Bristol,tel:+18603140229,41.681578,-72.940749
Connecticut,"815 Pine Street,Bristol",815 Pine Street,Bristol,tel:+18605841352,41.681578,-72.940749
Delaware,"216 Atlantic Avenue,Millville",216 Atlantic Avenue,Millville,tel:+13025371900,38.556507,-75.100246
Florida,"20695 Biscayne Boulevard,Aventura",20695 Biscayne Boulevard,Aventura,tel:+13059331901,25.960389,-80.143113
Georgia,"1194 Prince Avenue,Athens",1194 Prince Avenue,Athens,tel:+17063532286,33.937551,-83.424964
Georgia,"1573 S Lumpkin St,Athens",1573 S Lumpkin St,Athens,tel:+17065480080,33.905911,-83.323577
Georgia,"1911 Epps Bridge Road,Athens",1911 Epps Bridge Road,Athens,tel:+17063538004,33.937551,-83.424964
Georgia,"3465 Jefferson Rd.,Athens",3465 Jefferson Rd.,Athens,tel:+16785445845,34.017305,-83.447551
Georgia,"824 Hull Rd,Athens",824 Hull Rd,Athens,tel:+17065485583,0,0
Hawaii,"1020 Keolu Dr,Kailua",1020 Keolu Dr,Kailua,tel:+18082624216,21.395084,-157.758188
Hawaii,"200 Hamakua Drive,Kailua",200 Hamakua Drive,Kailua,tel:+18082622829,21.395084,-157.758188
Hawaii,"Marine Corps Air Station,Kailua",Marine Corps Air Station,Kailua,tel:+18083670027,21.395084,-157.758188
Idaho,"2205 Overland Rd,Burley",2205 Overland Rd,Burley,tel:+12086784225,42.439675,-113.815864
Idaho,"702 N Overland Ave,Burley",702 N Overland Ave,Burley,tel:+12086792721,42.439675,-113.815864
Illinois,"3565 East Vienna Street,Anna",3565 East Vienna Street,Anna,tel:+16188335049,37.462109,-89.17253
Indiana,"517 Green Blvd,Aurora",517 Green Blvd,Aurora,tel:+18129263509,39.072665,-84.965538
Kansas,"509 W 8th St.,Beloit",509 W 8th St.,Beloit,tel:+17857384100,39.400935,-98.085468
Kentucky,"45 Fairfield Ave,Bellevue",45 Fairfield Ave,Bellevue,tel:+18594314362,39.101364,-84.478768
Louisiana,"278 Main St,Baker",278 Main St,Baker,tel:+12257758173,30.587189,-91.127633
Maine,"989 Wiscasset Rd,Boothbay",989 Wiscasset Rd,Boothbay,tel:+12076339925,43.875449,-69.620688
Maryland,"100 Back River Neck Rd,Baltimore",100 Back River Neck Rd,Baltimore,tel:+14103913470,39.289205,-76.43477
Maryland,"110 Reisterstown Rd,Baltimore",110 Reisterstown Rd,Baltimore,tel:+14104865066,39.381174,-76.721002
Maryland,"1209 North Charles St.,Baltimore",1209 North Charles St.,Baltimore,tel:+14102441317,39.294832,-76.622229
Maryland,"1251 W Pratt St,Baltimore",1251 W Pratt St,Baltimore,tel:+14103851118,39.28283,-76.654
Maryland,"1407 Sulphur Spring Rd,Baltimore",1407 Sulphur Spring Rd,Baltimore,tel:+14102427802,39.23997,-76.67945
Maryland,"1520 West North Ave.,Baltimore",1520 West North Ave.,Baltimore,tel:+14102255103,39.308473,-76.639154
Maryland,"1600 W. Mount Royal Avenue,Baltimore",1600 W. Mount Royal Avenue,Baltimore,tel:+14102253047,39.308473,-76.639154
Maryland,"1700 E Cold Spring Lane,Baltimore",1700 E Cold Spring Lane,Baltimore,tel:+14438854666,39.344707,-76.581242
Maryland,"1718 Reistertown Rd,Baltimore",1718 Reistertown Rd,Baltimore,tel:+14105801133,39.381174,-76.721002
Maryland,"1722 East Northern Parkway,Baltimore",1722 East Northern Parkway,Baltimore,tel:+14439613347,39.367099,-76.589171
Maryland,"1725 Chesaco Ave,Baltimore",1725 Chesaco Ave,Baltimore,tel:+14109298559,39.341939,-76.495443
Maryland,"1800 Russell St,Baltimore",1800 Russell St,Baltimore,tel:+14106855167,39.26613,-76.623803
Maryland,"1800 Washington Blvd,Baltimore",1800 Washington Blvd,Baltimore,tel:+14107521777,39.26613,-76.623803
